,domain,count,type of,
1261,coronavirusnigeria.ng4n.com,4606,corona virus news blog,
4,www.instagram.com,574,social media,
8,www.youtube.com,417,social media,
943,www.theforefrontmedia.org,243,local tv blog,
107,www.jordanib.com,168,local blog,
479,naijaloveinfo.com,109,local blog,NR
63,m.facebook.com,94,social media,
52,www.vanguardngr.com,87,local news outlet,
9,punchng.com,86,local news outlet,
78,audiomack.com,86,music streaming platform,
1184,coronavirusinnigeria.com,81,local blog,NR
938,koko.ng,76,local blog,
3,newsscrollngr.com,72,online local news outlet,
128,www.facebook.com,69,social media,
47,www.channelstv.com,65,local news outlet,
46,dailytrust.com,60,local news outlet,
134,thenationonlineng.net,60,local news outlet,
91,vreporters.com,53,online local news outlet,
141,4wardwego.com.ng,49,local blog,
110,globaltimesinternational.com.ng,46,online local news outlet,
139,www.operanewsapp.com,41,foreign news outlet,
173,newswirengr.com,41,online local news outlet,
29,www.thecable.ng,39,local news outlet,
23,emekaobinnwa.com,37,local blog,
185,doubleaexclusive.com,35,online local news outlet,
1186,clayrichie.blogspot.com,34,local blog,
272,topcourtnews.com,33,business link,
101,api.whatsapp.com,32,business link,
120,guardian.ng,30,local news outlet,
946,www.toptipz.com.ng,30,online local news outlet,
179,docs.google.com,27,NR,
1204,gistvile.com,27,local blog,
104,anchor.fm,26,podcast streaming platform,
72,www.premiumtimesng.com,25,local news outlet,
445,www.fiverr.com,25,freelance work website,
33,infodailyng.com,24,local news outlet,
109,dailypost.ng,24,local news outlet,
7,theeaglesvoice.com,23,local blog,
48,www.bbc.com,23,foreign news outlet,
178,ekohotblog.com,23,local blog,
181,www.legit.ng,22,online local news outlet,
273,naijaloveinfo.blogspot.com,22,local blog,
472,demolaadefajo.com.demolaadefajo.ng,22,local blog,
589,zonuk.com,22,NR,
813,www.learningmadeeasyng.com,21,NR,
21,ogunleyemightybloghelp.blogspot.com,20,local blog,
24,naijatodaynews.com,20,online local news outlet,
32,thetravelport.com.ng,20,online local news outlet,
111,tribuneonlineng.com,20,local news outlet,
250,inokv.com,20,business link,
497,chat.whatsapp.com,19,business link,
921,www.ogbongenews.com,19,local blog,
14,twitter.com,18,social media, 
