Thu May 14 09:59:39 +0000 2020	1260872393456783361	1260872393456783361	This is real CoroBetNaija. Time to stake and win big in the absence of sport bets.,😅😂🤣May God see us through this… https://t.co/T2zM4LQ9SF	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	1233084520276135936	1233084520276135936	Bola Daunsi	BDaunsi	None	Social Capital Mobilization, Human Capital Development and Political Enthusiast.....Don't Count the Days, Make the Days Count.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Thu May 14 08:05:51 +0000 2020	1260843754900131840	1260843754900131840	How can you marry a lady you were not forced to marry, then abandon her at home and start showing ur love to anothe… https://t.co/AfcF0iaPOr	True	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	None	None	None	None	None	None	None	None	None	796373250741768193	796373250741768193	Chuks Johnson	chuksjohnson13	Suruler Lagos	God’s son, A Nigerian, An accountant, advocate for peace, unbiased, lover of nature, Manchester United, Still believe in one Nigeria	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Thu May 14 07:19:10 +0000 2020	1260832009011769344	1260832009011769344	Watch till the end and thank me laterCheck how Kunfu master White danger was defeated....#KatsinaIsBleeding Igbo… https://t.co/vS59H1E8tB	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	1704361466	1704361466	MR FIX IT	beckleydough3ng	Lagos	GM 👉@beckfixrepairs  I repair, sell and install appliances such as AC, Washers, Cookers, TV, Freezers ,Blenders, Microwave e.t.c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Thu May 14 07:14:38 +0000 2020	1260830868937027585	1260830868937027585	AS THE DEAR PANTS FOR WATER, SO MY SOUL LONGS FOR YOU LORD.Originally sang by Martin J. Nystrom from the album "Al… https://t.co/uDwJvMMS8F	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	1260800728911798273	1260800728911798273	Iconique Musique	Crazedworship	Lagos, Nigeria	UNSIGNED CREATIVE || YOUTUBER || RECORDING ARTISTE || CHRISTIAN || CEO: NIQUE PAINT CONTRACTORS || CEO: PENCILL CORP	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed May 13 21:52:19 +0000 2020	1260689356311998468	1260689356311998468	Can you have this yumminess stare you in the face and not consume it?.If you can't let it go,send a DM to order a… https://t.co/RXOhzqUkYX	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	1228581968033566727	1228581968033566727	Cakes in Lagos (tyt_cakes)	Omotayo24265215	None	Cakes for different Occassions	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed May 13 21:31:36 +0000 2020	1260684142892769280	1260684142892769280	#Proville #jobs #freelance #search #quality #functionality #getconnected #datascience #sophisticated… https://t.co/rdZeashO4h	True	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	1260683823169318912	1260683823169318912	880702403749830657	880702403749830657	provilledotnet	None	None	None	None	880702403749830657	880702403749830657	Proville	provilledotnet	None	Join the fastest growing professional freelance community to hire and work. #provilledotnet #Nigeria | #Africa | #Global	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	und
Wed May 13 21:23:38 +0000 2020	1260682137428267011	1260682137428267011	Get in touch with us today to have your website design and maintain to contribute positively to your company's inco… https://t.co/MmdilIaEyB	True	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	1260681450665410568	1260681450665410568	1189243751480336385	1189243751480336385	provilleconsult	None	None	None	None	1189243751480336385	1189243751480336385	Proville Business Solution Ltd	provilleconsult	Magodo, Lagos Nigeria.	Web & Mobile Development, Accounting & Finance, Digital Marketing, Writing, Graphics & Branding, Virtual Support.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed May 13 21:15:03 +0000 2020	1260679979010056195	1260679979010056195	Partner with Proville today to help you digitalise your brand or business in social media marketing, SEO/SEM, anima… https://t.co/BIFqrXmK3V	True	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	1260679345137475585	1260679345137475585	1189243751480336385	1189243751480336385	provilleconsult	None	None	None	None	1189243751480336385	1189243751480336385	Proville Business Solution Ltd	provilleconsult	Magodo, Lagos Nigeria.	Web & Mobile Development, Accounting & Finance, Digital Marketing, Writing, Graphics & Branding, Virtual Support.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed May 13 20:47:21 +0000 2020	1260673007674175490	1260673007674175490	That's the PLUG : https://t.co/yPd6E2mf0y..#Nolockdownlagos#KhloeKardashian	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	3087689921	3087689921	ObeHI _	naH2oisibor	ritbesideU	ManUtd....#Be true to your self!......#IG NAAHOOMEE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed May 13 20:45:10 +0000 2020	1260672454747394051	1260672454747394051	While y'all are still here analysing about @khloekardashian life instead of fixing y'all pathetic lives, kindly vis… https://t.co/v0k3MMWbu3	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	3087689921	3087689921	ObeHI _	naH2oisibor	ritbesideU	ManUtd....#Be true to your self!......#IG NAAHOOMEE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed May 13 20:39:40 +0000 2020	1260671072237649923	1260671072237649923	@followlasg @jidesanwoolu @JokeSanwoolu @drobafemihamzat @ProfAkinAbayomi @LSMOH @gboyegaakosile @Mr_JAGss #nolockdownlagos #nolagoslockdown	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	1260590249085976579	1260590249085976579	48965474	48965474	Sylvester2006	None	None	None	None	48965474	48965474	Sylvester Ebhodaghe	Sylvester2006	Nigeria	New-breed Media Practitioner	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	und
Wed May 13 19:24:08 +0000 2020	1260652065837084673	1260652065837084673	#NoLockdownLagos.The previous lockdown yielded no result. https://t.co/6mohuguBWP	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	716623132451319808	716623132451319808	Abbey	exponentz1	Nigeria 	Engineering, Construction, Project management and Logistics	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed May 13 18:39:30 +0000 2020	1260640832874352640	1260640832874352640	We may recall that, his socialmedia handles have constantly suffered premature e̶j̶a̶c̶u̶l̶a̶t̶i̶o̶n̶ growth owing… https://t.co/oK91lGHmgx	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1260604609359306752	1260604609359306752	977665780018900992	977665780018900992	dokitorsavage	None	None	None	None	977665780018900992	977665780018900992	#EndSars 🇳🇬 #EndSarsNow 🇨🇦	dokitorsavage	Alberta, Canada	The Official Page of Dokitor Savage depicting all Shades of Savagery via un-restricted Media#MD #ResearchAssociateIG: #Blogger at @dokitorsavagexclusive	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed May 13 18:14:13 +0000 2020	1260634470660608002	1260634470660608002	I posted this video up on my YOUTUBE CHANNEL since yesterday and I have been really DEPRESSED 😫😫😫because I put in m… https://t.co/pjynu1UAyu	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	1157643272866738177	1157643272866738177	CHUKS PETERSON 🛡	chuksypeterson	Abuja	🕵🏻‍♂️Intl. Model Scout/Agent 💰Model Coach. 🕊Youtuber 👨🏽‍💻Content Creator IG:chukspeterson	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
Wed May 13 17:12:19 +0000 2020	1260618890431926279	1260618890431926279	#bringbackAprilpromo is activated this weekend. With only N32k/N27k/N22k you will be get  2.5L/2.0L/1.5L bowls resp… https://t.co/vEjaYIQD8U	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '07d9f4888d088001', 'url': 'https://api.twitter.com/1.1/geo/id/07d9f4888d088001.json', 'place_type': 'poi', 'name': 'Magodo. G.R.A', 'full_name': 'Magodo. G.R.A', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.371538, 6.617654], [3.371538, 6.617654], [3.371538, 6.617654], [3.371538, 6.617654]]]}, 'attributes': {}}	None	1256329112974757895	1256329112974757895	Yemi Abereoje	Sammyz54592683	Magodo Phase 2	An Agricultural Economist, Finance expert, seasoned Banker(Senior Risk Manager) and a veteran Chef.Always being ME even when its not my MOMENT.	07d9f4888d088001	https://api.twitter.com/1.1/geo/id/07d9f4888d088001.json	poi	Magodo. G.R.A	Magodo. G.R.A	NG	Nigeria	NULL	Polygon	[[[3.371538, 6.617654], [3.371538, 6.617654], [3.371538, 6.617654], [3.371538, 6.617654]]]	NULL	NULL	NULL	NULL	en
Wed May 13 15:10:12 +0000 2020	1260588160083509252	1260588160083509252	Imade birthday is tomorrow, I trust wizkid FC, dem no dey carry last. Meanwhile... To increase your WhatsApp vi… https://t.co/Ouj3mI5ehY	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	1150513032386220032	1150513032386220032	Standard9191	standard9191	None	Superself	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	en
